epoch	loss	acc	val_loss	val_acc
0	0.35641712647231283	0.8921133559877304	0.07174758812703544	0.9787015380253739
1	0.07401231511776805	0.9784100708376483	0.07070068211182517	0.9799064426961513
2	0.05451543568141077	0.9848677552852604	0.0757251394241157	0.9799182554870414
3	0.04633583112372246	0.9876673977500482	0.032356123190515326	0.9915538545136674
4	0.04127653866236183	0.9894353857482054	0.03415593070536128	0.9915892928863373
5	0.04047056590188195	0.9901205303176472	0.046535386946747984	0.9896047440168214
6	0.0399674971767139	0.9910379940227043	0.02639466053944954	0.993668344082973
7	0.040933658824096324	0.9911364343344057	0.08803277969960654	0.981028657830699
8	0.038826168435463514	0.9917349514295503	0.050235310420981734	0.9899118765799608
9	0.04130932468054606	0.9916089478305724	0.06625036287200257	0.9850568195241808
10	0.04676598052349928	0.9912624379333834	0.053355151781984446	0.9906678951969192
11	0.04672458891037234	0.9914632561692543	0.054981089307510035	0.9903016986793299
12	0.04807405754490681	0.9915026322939349	0.05182529367917419	0.9916483568407872
